회사명,거래소코드,회계년도,자본(천원),유동자산(천원),재고자산(천원),부채(천원),유동부채(천원),자본금(천원),비유동자산(천원),매출액(영업수익)(천원),당기순이익(순손실)(천원),유형자산(천원),영업이익(손실)(천원),이자비용(천원)
(주)씨앗,103660,2013/12,10347331.0,11210706.0,5761251.0,19524819.0,11153393.0,2067166.0,18661445.0,13074637.0,4164.0,11787065.0,758861.0,0.0
(주)씨앗,103660,2014/12,-1179755.0,9253730.0,4534514.0,23820473.0,16384072.0,2067166.0,13386989.0,15007038.0,-3175875.0,11215132.0,-2238818.0,0.0
(주)씨앗,103660,2015/12,-1743312.0,9049198.0,5250226.0,24330593.0,20248315.0,2201666.0,13538083.0,16557027.0,-2093156.0,11147948.0,-691700.0,0.0
(주)씨앗,103660,2016/12,3833150.0,12808439.0,5750483.0,23782115.0,21177354.0,2301666.0,14806826.0,22037142.0,566305.0,11124815.0,1654169.0,0.0
(주)씨앗,103660,2017/12,2312681.0,9711777.0,4625916.0,21226243.0,19299195.0,2895916.0,13827147.0,27570053.0,-2903191.0,10660219.0,2722732.0,0.0
(주)씨앗,103660,2018/12,626792.0,10390955.0,5601858.0,24414024.0,19533922.0,2895916.0,14649861.0,21501625.0,-1685889.0,10545983.0,59299.0,0.0
(주)씨앗,103660,2019/12,-1455405.0,11931131.0,5387425.0,27329048.0,19315793.0,2895916.0,13942512.0,25528504.0,-2071606.0,10264718.0,489762.0,0.0
(주)씨앗,103660,2020/12,1510798.0,0.0,0.0,26963583.0,21578861.0,2958736.0,17824334.0,19687639.0,-4291958.0,11603414.0,-4291958.0,683770.0
(주)씨앗,103660,2021/12,-5038641.0,0.0,0.0,27869989.0,23146817.0,3008736.0,13533189.0,18662136.0,-2537684.0,12911336.0,-2537684.0,821453.0
(주)씨앗,103660,2022/12,-5269977.0,0.0,0.0,26902966.0,22586175.0,3008736.0,13570245.0,23226869.0,-542947.0,12314351.0,-542947.0,1170218.0
(주)씨앤에스링크,245450,2014/12,3610526.0,6503504.0,4292361.0,4958335.0,4830835.0,299980.0,2065357.0,20863543.0,465974.0,597164.0,526029.0,0.0
(주)씨앤에스링크,245450,2015/12,4136197.0,6863370.0,4819076.0,5072278.0,5057278.0,299980.0,2345106.0,21747492.0,525672.0,613466.0,614493.0,0.0
(주)씨앤에스링크,245450,2016/12,3635657.0,7319896.0,4358739.0,5937786.0,5749506.0,519980.0,2253546.0,19741492.0,-860487.0,572437.0,72873.0,0.0
(주)씨앤에스링크,245450,2017/12,3219371.0,7389815.0,4901122.0,6331372.0,5766373.0,519980.0,2160927.0,21961853.0,-624661.0,522813.0,-235472.0,0.0
(주)씨앤에스링크,245450,2018/12,3436014.0,8676327.0,6256763.0,7356933.0,6838166.0,519980.0,2116620.0,31402319.0,216644.0,450763.0,555820.0,0.0
(주)씨앤에스링크,245450,2019/12,1670471.0,6068603.0,3166038.0,7976229.0,6429388.0,789980.0,3578097.0,25297395.0,-1763614.0,2097625.0,-1209558.0,0.0
(주)씨앤에스링크,245450,2020/12,2226379.0,6630648.0,3101014.0,7797317.0,6200788.0,789980.0,3393048.0,22333853.0,555908.0,2076709.0,757194.0,0.0
(주)씨앤에스링크,245450,2021/12,2335081.0,7350846.0,3140902.0,7861384.0,6763050.0,789980.0,2845620.0,23098155.0,108702.0,1966876.0,355003.0,0.0
(주)씨앤에스링크,245450,2022/12,1922493.0,6127370.0,3219132.0,6935338.0,6103674.0,789980.0,2730461.0,19991209.0,-412588.0,1908796.0,-147757.0,0.0
(주)씨엔티드림,286000,2014/12,166747.0,2083544.0,991846.0,4584230.0,2694003.0,300000.0,2667433.0,5638626.0,18415.0,2617149.0,175507.0,0.0
(주)씨엔티드림,286000,2015/12,1361625.0,4556794.0,628435.0,6028926.0,4735707.0,315240.0,2833757.0,6651462.0,600518.0,2748008.0,752941.0,0.0
(주)씨엔티드림,286000,2016/12,5317978.0,9140330.0,4121751.0,10211073.0,8229576.0,382485.0,6388721.0,10446869.0,496188.0,6283099.0,831085.0,0.0
(주)씨엔티드림,286000,2017/12,3717963.0,8567038.0,3179796.0,11112919.0,8784148.0,401085.0,6263844.0,13556194.0,-3053313.0,6130344.0,-1861458.0,0.0
(주)씨엔티드림,286000,2018/12,7092019.0,12191230.0,4205276.0,12314335.0,9883364.0,442220.0,7215124.0,13669465.0,-625911.0,6584488.0,-525678.0,0.0
(주)씨엔티드림,286000,2019/12,9231233.0,15372303.0,4998894.0,13027079.0,11907377.0,494669.0,6886009.0,17847009.0,-2960927.0,6064755.0,-2695383.0,0.0
(주)씨엔티드림,286000,2020/12,3174116.0,10951997.0,5146985.0,13623699.0,12674554.0,2473345.0,5845818.0,20913215.0,-6057116.0,5510869.0,-5108613.0,0.0
(주)씨엔티드림,286000,2021/12,4280088.0,7972558.0,6214583.0,13476483.0,12748179.0,2473345.0,9784014.0,14736591.0,-3361433.0,9517020.0,-3135968.0,0.0
(주)씨엔티드림,286000,2022/12,-5892742.0,2362742.0,1149597.0,15691759.0,14350655.0,2575386.0,7436276.0,12298337.0,-7867363.0,6261807.0,-3435589.0,0.0
(주)아이엠지티,456570,2021/12,-28248955.0,17042977.0,0.0,48538447.0,47728541.0,448348.0,3246514.0,1290.0,-16912665.0,2067056.0,-16912665.0,1046096.0
(주)아이엠지티,456570,2022/12,-27035151.0,12723168.0,0.0,42303194.0,41454268.0,448348.0,2544874.0,102330.0,731315.0,1857527.0,731315.0,2001341.0
(주)아이오바이오,447690,2021/12,910102.0,1454892.0,359331.0,1740460.0,982366.0,1841647.0,1195670.0,1317146.0,-1651956.0,569944.0,-1619595.0,0.0
(주)아이오바이오,447690,2022/12,210088.0,1485836.0,485008.0,1497781.0,573701.0,1888707.0,222034.0,1191396.0,-1515055.0,56934.0,-1920187.0,0.0
(주)아하,102950,2013/12,13747216.0,25833551.0,12896277.0,25833952.0,16258868.0,2261291.0,13747617.0,30698266.0,407265.0,11591975.0,1853911.0,0.0
(주)아하,102950,2014/12,14051403.0,21312974.0,8847380.0,25814627.0,19149355.0,2261291.0,18553056.0,33583001.0,804188.0,15634631.0,1057621.0,0.0
(주)안지오랩,251280,2014/12,4744700.0,3778019.0,303190.0,1323218.0,722789.0,1217061.0,2289899.0,878441.0,-350314.0,16313.0,-376355.0,0.0
(주)안지오랩,251280,2015/12,3558197.0,2817454.0,259073.0,839302.0,418965.0,1217061.0,1580045.0,702621.0,-1186503.0,18107.0,-716066.0,0.0
(주)안지오랩,251280,2016/12,10616612.0,10154630.0,336779.0,975070.0,431244.0,1661503.0,1437053.0,500114.0,-938952.0,58647.0,-980865.0,0.0
(주)안지오랩,251280,2017/12,9099726.0,9878717.0,599443.0,1495086.0,982373.0,1661503.0,716095.0,1188859.0,-1516886.0,75439.0,-731951.0,0.0
(주)안지오랩,251280,2018/12,-13888345.0,9476323.0,989066.0,23861698.0,23622640.0,902957.0,497030.0,6104380.0,-9268573.0,138238.0,-9268573.0,1237412.0
(주)안지오랩,251280,2019/12,-14372900.0,8349992.0,1561368.0,23235295.0,19613748.0,1125180.0,512404.0,1654528.0,-8083799.0,185347.0,-8083799.0,1466813.0
(주)안지오랩,251280,2020/12,2704304.0,2716432.0,428061.0,556923.0,429458.0,1744836.0,544795.0,315545.0,-850365.0,223741.0,-850365.0,1445424.0
(주)안지오랩,251280,2021/12,6243508.0,6443890.0,468583.0,646599.0,574820.0,2034309.0,446217.0,884958.0,-2069925.0,126900.0,-2069925.0,2204.0
(주)안지오랩,251280,2022/12,4260987.0,4233023.0,414538.0,736043.0,643877.0,2034309.0,764007.0,1005561.0,-2011162.0,159131.0,-2011162.0,1410.0
(주)엄지하우스,224810,2013/12,13044669.0,21030504.0,12841380.0,12796663.0,12484956.0,1200000.0,4810828.0,57881474.0,1194399.0,456555.0,1624566.0,0.0
(주)엄지하우스,224810,2014/12,14586077.0,14989108.0,676015.0,5649603.0,5180680.0,1200000.0,5246573.0,78110307.0,2420543.0,632488.0,3151664.0,0.0
(주)엄지하우스,224810,2015/12,16336923.0,22981602.0,4482463.0,11912399.0,11513476.0,1200000.0,5267720.0,65707258.0,2082013.0,689096.0,2496416.0,0.0
(주)엄지하우스,224810,2016/12,18990736.0,26754759.0,7511949.0,13324611.0,12762190.0,1500000.0,5560588.0,77564845.0,-176273.0,1591007.0,-176273.0,2708.0
(주)엄지하우스,224810,2017/12,21723606.0,27332309.0,10440354.0,11992512.0,10709754.0,2100000.0,6383809.0,96654987.0,2756325.0,1464733.0,2756325.0,16334.0
(주)엄지하우스,224810,2018/12,23512154.0,37589933.0,14392150.0,22136711.0,18992829.0,2100000.0,8058932.0,92435915.0,2260694.0,1566731.0,2260694.0,59888.0
(주)엄지하우스,224810,2019/12,25124844.0,41755070.0,11158060.0,26609895.0,24204629.0,2100000.0,9979669.0,71814764.0,2032689.0,3960439.0,2032689.0,246682.0
(주)엄지하우스,224810,2020/12,27767378.0,30865182.0,7073579.0,17163728.0,15046940.0,2100000.0,14065924.0,69344130.0,3531347.0,4624378.0,3531347.0,208314.0
(주)엄지하우스,224810,2021/12,28136475.0,41376455.0,20947661.0,28047646.0,24135737.0,2100000.0,14807666.0,90186857.0,654990.0,3594712.0,654990.0,233625.0
(주)엄지하우스,224810,2022/12,18048149.0,67923744.0,50038850.0,61165393.0,54503893.0,2100000.0,11289799.0,36509676.0,-9655928.0,5133178.0,-9655928.0,991969.0
